14|Where does a dog go when it loses its tail?|A retail store.
17|Why are frogs so happy?|They eat whatever bugs them.
25|Why did Mozart kill his chickens?| They were yelling , Bach Bach Bach Bach
27|Why can't you e-mail a photo to a Jedi?|Because attachments are forbidden.
28|What happens when you enter a black hole?|I don't know either. It must be out of this universe
35|What mythical creature would make the best rappers?|"Dragons, because they're always spittin' fire."
38|What do you call a row of hares hopping backward?|A receding hare line.
41|Why did the scarecrow get a promotion?|Because he was out standing in his field
57|Why was the Router released early from prison?|It had connections.
85|What's the difference between a Hippo and a Zippo?|A Hippo is heavy and a Zippo is a little lighter.
90|Why'd the vulture have to check his bag?|The airline didn't allow carrion luggage.
143|What's a computer's favorite beat?|An algo-rhythm
153|When does a car stop being a car?|When it turns into a driveway
171|What do you call a cow with no legs?|Ground beef
173|How did Luke Skywalker know what Darth Vader got him for Christmas?|He felt his presents.
176|What do you call a pine cone that creates exact replicas of itself?|A pine clone!
182|How many programmers does it take to change a light bulb?|None. That's a hardware problem.
195|How do new pilots get by?|They wing it!
210|Did you hear about the guy who got hit in the head with a can of soda?|He was lucky it was a soft drink
220|What does a mouse put on the end of his line when he goes fishing?|Clickbait.
222|How much room is needed for fungi to grow?|As mushroom as possible
238|Where does a two dimensional man live?|A flat.
257|When do cows go to sleep?|Pasture bedtime.
252|Ever tried eating a clock?|It's time consuming.
257|When do cows go to sleep?|Pasture bedtime.
298|Why did the teddy bear leave the restaurant?|He was stuffed.
316|Why didn't the terminator upgrade to windows 10?|"I asked him and he said, ""I still love vista, baby!"""
344|Have you read the book about anti-gravity?|"It's pretty hard to put down."
394|What does an invisible watermelon look like?|"You're looking at one"
38270|What did the transcendentalist say to the hot dog vendor?|Make me one with everything
38271|Two boll weevils grew up in Southern Carolina. One took off to Hollywood and became a rich star. The other stayed in Carolina and never amounted to much. You know what they called him?|The lesser of two weevils.
38272|A group of chess enthusiasts checked into a hotel, and met in the lobby where they were discussing their recent victories in chess tournaments. The hotel manager came out of the office after an hour, and asked them to disperse. You know what why?|"He couldn't stand chess nuts boasting in an open foyer."
38273|What do you get when you throw strawberries on a freeway?|A traffic jam
38274|What do you call a cow with no legs?|Ground beef
38275|Can a kangaroo jump higher than a house?|Of course, a house doesn't jump at all
38276|You know my dog used to chase people on a bike a lot?|Yeah, it got so bad, I finally had to take his bike away
38277|Why couldn't the man at the boomerang shop buy a new boomerang?|He couldn't figure out how to throw his old one away
38278|How many opticians does it take to change a lightbulb?|"They can't decide. Is it one, or two? One, or two?
38279|Why did the old man bump into the well?|"Because he couldn't see that well"
38280|How did the hipster burn his tongue?|He drank his coffee before it was cool
38281|Why aren't koalas actual bears?|They don't meet the koalafications
38282|Why is it so hard to explain puns to kleptomaniacs?|Because they always take things literally
38283|What do you call a psychic child who's escaped from prison?|A small medium at large!
38284|What's the best thing about Switzerland?|I don't know, but their flag is a huge plus
38285|You know I bought a ceiling fan the other day?|Yeah, complete waste of money. He just stands there applauding and saying ooh, I love how smooth it is.
38286|What do you call a can opener that doesn't work?|"A can't opener!"
38287|What do you call an alligator that wears a vest?|An investigator
38288|What did the red light say to the green light?|Don't look, I'm changing!
38289|What did one wall say to the other?|Meet you at the corner
38290|What's so special about bullets?|They're the only things that do their job after they're fired!
